"Year","Month","Day","Moon_age","right_ascens_hour","right_ascens_min","right_ascens_sec","deg","declination_min","declination_sec","Rise","Culm","Set","Mag.","Observable","Constellation"
"2019","09","27","28 days","11","43","38","+02","51","29","06:00","12:19","18:39","1.8","Not observable","Virgo"
"2019","09","28","29 days","11","45","59","+02","35","59","06:02","12:20","18:38","1.8","Not observable","Virgo"
"2019","09","29","01 days","11","48","20","+02","20","27","06:00","12:17","18:34","1.8","Not observable","Virgo"
"2019","09","30","02 days","11","50","41","+02","04","54","05:58","12:14","18:29","1.8","Not observable","Virgo"
"2019","10","01","03 days","11","53","03","+01","49","21","06:00","12:14","18:28","1.8","Not observable","Virgo"
"2019","10","02","04 days","11","55","24","+01","33","46","05:58","12:11","18:24","1.8","Not observable","Virgo"
"2019","10","03","05 days","11","57","45","+01","18","11","06:00","12:12","18:23","1.8","Not observable","Virgo"
"2019","10","04","06 days","12","00","06","+01","02","36","05:59","12:08","18:18","1.8","Not observable","Virgo"
"2019","10","05","07 days","12","02","28","+00","47","00","06:01","12:09","18:17","1.8","Not observable","Virgo"
"2019","10","06","08 days","12","04","49","+00","31","24","05:59","12:06","18:13","1.8","Not observable","Virgo"
"2019","10","07","09 days","12","07","10","+00","15","47","05:57","12:02","18:08","1.8","Not observable","Virgo"
"2019","10","08","10 days","12","09","32","+00","00","10","05:59","12:03","18:07","1.8","Not observable","Virgo"
"2019","10","09","11 days","12","11","53","-00","15","26","05:57","12:00","18:03","1.8","Not observable","Virgo"
"2019","10","10","12 days","12","14","15","-00","31","03","05:59","12:01","18:02","1.8","Not observable","Virgo"
"2019","10","11","13 days","12","16","37","-00","46","40","05:58","11:57","17:57","1.8","Not observable","Virgo"
"2019","10","12","14 days","12","18","58","-01","02","16","06:00","11:58","17:56","1.8","Not observable","Virgo"
"2019","10","13","15 days","12","21","20","-01","17","53","05:58","11:55","17:52","1.8","Not observable","Virgo"
"2019","10","14","16 days","12","23","42","-01","33","29","05:56","11:52","17:47","1.8","Not observable","Virgo"
"2019","10","15","17 days","12","26","04","-01","49","05","05:58","11:52","17:46","1.8","Not observable","Virgo"
"2019","10","16","18 days","12","28","26","-02","04","40","05:56","11:49","17:42","1.8","Not observable","Virgo"
"2019","10","17","19 days","12","30","49","-02","20","14","05:59","11:50","17:41","1.8","Not observable","Virgo"
"2019","10","18","20 days","12","33","11","-02","35","48","05:57","11:47","17:36","1.8","Not observable","Virgo"
"2019","10","19","21 days","12","35","33","-02","51","21","05:55","11:43","17:32","1.8","Not observable","Virgo"
"2019","10","20","22 days","12","37","56","-03","06","54","05:57","11:44","17:31","1.8","Not observable","Virgo"
"2019","10","21","23 days","12","40","19","-03","22","25","05:55","11:41","17:26","1.8","Not observable","Virgo"
"2019","10","22","24 days","12","42","42","-03","37","55","05:57","11:42","17:26","1.8","Not observable","Virgo"
"2019","10","23","25 days","12","45","05","-03","53","24","05:56","11:38","17:21","1.8","Not observable","Virgo"
"2019","10","24","26 days","12","47","28","-04","08","52","05:58","11:39","17:20","1.8","Not observable","Virgo"
"2019","10","25","27 days","12","49","52","-04","24","19","05:56","11:36","17:16","1.8","Not observable","Virgo"
"2019","10","26","28 days","12","52","15","-04","39","44","05:54","11:33","17:11","1.8","Not observable","Virgo"
"2019","10","27","29 days","12","54","39","-04","55","07","05:56","11:33","17:10","1.8","Not observable","Virgo"
"2019","10","28","30 days","12","57","03","-05","10","29","05:55","11:30","17:06","1.8","Not observable","Virgo"
"2019","10","29","01 days","12","59","27","-05","25","49","05:57","11:31","17:05","1.8","Not observable","Virgo"
"2019","10","30","02 days","13","01","52","-05","41","07","05:55","11:28","17:01","1.8","Not observable","Virgo"
"2019","10","31","03 days","13","04","16","-05","56","23","05:53","11:25","16:56","1.8","Not observable","Virgo"
"2019","11","01","04 days","13","06","41","-06","11","37","05:56","11:26","16:55","1.8","Not observable","Virgo"
"2019","11","02","05 days","13","09","06","-06","26","49","05:54","11:22","16:51","1.8","Not observable","Virgo"
"2019","11","03","06 days","13","11","31","-06","41","58","05:56","11:23","16:50","1.8","Not observable","Virgo"
"2019","11","04","07 days","13","13","57","-06","57","05","05:54","11:20","16:46","1.8","Not observable","Virgo"
"2019","11","05","08 days","13","16","23","-07","12","10","05:57","11:21","16:45","1.8","Not observable","Virgo"
"2019","11","06","09 days","13","18","48","-07","27","11","05:55","11:18","16:41","1.8","Not observable","Virgo"
"2019","11","07","10 days","13","21","15","-07","42","10","05:53","11:15","16:36","1.8","Not observable","Virgo"
"2019","11","08","11 days","13","23","41","-07","57","07","05:56","11:15","16:35","1.8","Not observable","Virgo"
"2019","11","09","12 days","13","26","08","-08","12","00","05:54","11:12","16:31","1.8","Not observable","Virgo"
"2019","11","10","13 days","13","28","34","-08","26","50","05:56","11:13","16:30","1.8","Not observable","Virgo"
"2019","11","11","14 days","13","31","02","-08","41","37","05:54","11:10","16:26","1.8","Not observable","Virgo"
"2019","11","12","15 days","13","33","29","-08","56","21","05:53","11:07","16:21","1.8","Not observable","Virgo"
"2019","11","13","16 days","13","35","57","-09","11","01","05:55","11:08","16:21","1.8","Not observable","Virgo"
"2019","11","14","17 days","13","38","25","-09","25","38","05:53","11:05","16:16","1.8","Not observable","Virgo"
"2019","11","15","18 days","13","40","53","-09","40","11","05:56","11:06","16:16","1.8","Not observable","Virgo"
"2019","11","16","19 days","13","43","22","-09","54","41","05:54","11:03","16:12","1.8","Not observable","Virgo"
"2019","11","17","20 days","13","45","50","-10","09","07","05:52","11:00","16:07","1.7","Not observable","Virgo"
"2019","11","18","21 days","13","48","20","-10","23","29","05:55","11:01","16:07","1.7","Not observable","Virgo"
"2019","11","19","22 days","13","50","49","-10","37","48","05:53","10:58","16:02","1.7","Not observable","Virgo"
"2019","11","20","23 days","13","53","19","-10","52","02","05:56","10:59","16:02","1.7","Not observable","Virgo"
"2019","11","21","24 days","13","55","49","-11","06","12","05:54","10:56","15:58","1.7","Not observable","Virgo"
"2019","11","22","25 days","13","58","20","-11","20","17","05:52","10:53","15:53","1.7","Not observable","Virgo"
"2019","11","23","26 days","14","00","50","-11","34","19","05:55","10:54","15:53","1.7","Not observable","Virgo"
"2019","11","24","27 days","14","03","22","-11","48","16","05:53","10:51","15:48","1.7","Not observable","Virgo"
"2019","11","25","28 days","14","05","53","-12","02","08","05:52","10:48","15:44","1.7","Not observable","Virgo"
"2019","11","26","29 days","14","08","25","-12","15","55","05:54","10:49","15:44","1.7","Not observable","Virgo"
"2019","11","27","01 days","14","10","57","-12","29","38","05:52","10:46","15:40","1.7","Not observable","Virgo"
"2019","11","28","02 days","14","13","30","-12","43","15","05:55","10:47","15:39","1.7","Not observable","Virgo"
"2019","11","29","03 days","14","16","03","-12","56","47","05:53","10:44","15:35","1.7","Not observable","Virgo"
"2019","11","30","04 days","14","18","36","-13","10","14","05:52","10:41","15:31","1.7","Not observable","Virgo"
"2019","12","01","05 days","14","21","09","-13","23","36","05:54","10:42","15:30","1.7","Not observable","Virgo"
"2019","12","02","06 days","14","23","43","-13","36","52","05:53","10:40","15:26","1.7","Not observable","Libra"
"2019","12","03","07 days","14","26","18","-13","50","03","05:55","10:41","15:26","1.7","Not observable","Libra"
"2019","12","04","08 days","14","28","52","-14","03","08","05:54","10:38","15:22","1.7","Not observable","Libra"
"2019","12","05","09 days","14","31","27","-14","16","07","05:52","10:35","15:18","1.7","Not observable","Libra"
"2019","12","06","10 days","14","34","03","-14","29","00","05:55","10:36","15:18","1.7","Not observable","Libra"
"2019","12","07","11 days","14","36","39","-14","41","47","05:53","10:33","15:13","1.7","Not observable","Libra"
"2019","12","08","12 days","14","39","15","-14","54","27","05:52","10:31","15:09","1.7","Not observable","Libra"
"2019","12","09","13 days","14","41","51","-15","07","02","05:54","10:32","15:09","1.7","07:56 until 07:53","Libra"
"2019","12","10","14 days","14","44","28","-15","19","30","05:53","10:29","15:05","1.7","Not observable","Libra"
"2019","12","11","15 days","14","47","06","-15","31","51","05:51","10:26","15:01","1.7","Not observable","Libra"
"2019","12","12","16 days","14","49","43","-15","44","06","05:54","10:28","15:01","1.7","07:57 until 08:00","Libra"
"2019","12","13","17 days","14","52","22","-15","56","15","05:53","10:25","14:57","1.7","07:57 until 08:00","Libra"
"2019","12","14","18 days","14","55","00","-16","08","16","05:51","10:22","14:53","1.7","07:56 until 08:01","Libra"
"2019","12","15","19 days","14","57","39","-16","20","11","05:54","10:23","14:53","1.7","07:59 until 08:02","Libra"
"2019","12","16","20 days","15","00","19","-16","31","58","05:52","10:21","14:49","1.7","07:59 until 08:03","Libra"
"2019","12","17","21 days","15","02","58","-16","43","38","05:55","10:22","14:49","1.6","08:02 until 08:04","Libra"
"2019","12","18","22 days","15","05","39","-16","55","11","05:53","10:19","14:45","1.6","08:02 until 08:05","Libra"
"2019","12","19","23 days","15","08","19","-17","06","37","05:52","10:17","14:41","1.6","08:01 until 08:06","Libra"
"2019","12","20","24 days","15","11","00","-17","17","55","05:55","10:18","14:41","1.6","08:04 until 08:02","Libra"
"2019","12","21","25 days","15","13","42","-17","29","06","05:53","10:15","14:38","1.6","Not observable","Libra"
"2019","12","22","26 days","15","16","24","-17","40","09","05:52","10:13","14:34","1.6","Not observable","Libra"
"2019","12","23","27 days","15","19","06","-17","51","03","05:54","10:14","14:34","1.6","Not observable","Libra"
"2019","12","24","28 days","15","21","49","-18","01","50","05:53","10:12","14:30","1.6","08:07 until 08:06","Libra"
"2019","12","25","29 days","15","24","32","-18","12","29","05:52","10:09","14:26","1.6","08:06 until 08:07","Libra"
"2019","12","26","30 days","15","27","16","-18","23","00","05:54","10:11","14:27","1.6","Not observable","Libra"
"2019","12","27","01 days","15","30","00","-18","33","22","05:53","10:08","14:23","1.6","Not observable","Libra"
"2019","12","28","02 days","15","32","44","-18","43","35","05:52","10:06","14:19","1.6","Not observable","Libra"
"2019","12","29","03 days","15","35","29","-18","53","40","05:54","10:07","14:20","1.6","08:13 until 08:10","Libra"
"2019","12","30","04 days","15","38","14","-19","03","37","05:53","10:04","14:16","1.6","Not observable","Libra"
"2019","12","31","05 days","15","41","00","-19","13","24","05:52","10:02","14:12","1.6","Not observable","Libra"
"2020","01","01","06 days","15","43","46","-19","23","03","05:54","10:04","14:13","1.6","Not observable","Libra"
"2020","01","02","07 days","15","46","32","-19","32","32","05:53","10:01","14:09","1.6","Not observable","Libra"
"2020","01","03","08 days","15","49","19","-19","41","52","05:52","09:59","14:06","1.6","Not observable","Libra"
"2020","01","04","09 days","15","52","06","-19","51","03","05:54","10:00","14:06","1.6","Not observable","Libra"
"2020","01","05","10 days","15","54","54","-20","00","05","05:53","09:58","14:03","1.5","Not observable","Libra"
"2020","01","06","11 days","15","57","42","-20","08","57","05:51","09:55","13:59","1.5","Not observable","Libra"
"2020","01","07","12 days","16","00","30","-20","17","40","05:50","09:53","13:56","1.5","Not observable","Libra"
"2020","01","08","13 days","16","03","19","-20","26","12","05:53","09:55","13:57","1.5","Not observable","Scorpius"
"2020","01","09","14 days","16","06","08","-20","34","35","05:51","09:52","13:53","1.5","Not observable","Scorpius"
"2020","01","10","15 days","16","08","58","-20","42","49","05:50","09:50","13:50","1.5","Not observable","Scorpius"
"2020","01","11","16 days","16","11","48","-20","50","52","05:53","09:52","13:51","1.5","Not observable","Scorpius"
"2020","01","12","17 days","16","14","38","-20","58","45","05:51","09:49","13:47","1.5","Not observable","Scorpius"
"2020","01","13","18 days","16","17","29","-21","06","28","05:50","09:47","13:44","1.5","Not observable","Scorpius"
"2020","01","14","19 days","16","20","20","-21","14","01","05:53","09:49","13:45","1.5","Not observable","Scorpius"
"2020","01","15","20 days","16","23","11","-21","21","23","05:51","09:46","13:42","1.5","Not observable","Scorpius"
"2020","01","16","21 days","16","26","03","-21","28","35","05:50","09:44","13:38","1.5","Not observable","Ophiuchus"
"2020","01","17","22 days","16","28","56","-21","35","37","05:52","09:46","13:39","1.5","Not observable","Ophiuchus"
"2020","01","18","23 days","16","31","48","-21","42","27","05:51","09:44","13:36","1.5","Not observable","Ophiuchus"
"2020","01","19","24 days","16","34","41","-21","49","07","05:50","09:41","13:33","1.5","Not observable","Ophiuchus"
"2020","01","20","25 days","16","37","35","-21","55","37","05:48","09:39","13:30","1.5","Not observable","Ophiuchus"
"2020","01","21","26 days","16","40","28","-22","01","55","05:51","09:41","13:31","1.4","Not observable","Ophiuchus"
"2020","01","22","27 days","16","43","22","-22","08","02","05:49","09:39","13:28","1.4","Not observable","Ophiuchus"
"2020","01","23","28 days","16","46","17","-22","13","58","05:48","09:37","13:25","1.4","Not observable","Ophiuchus"
"2020","01","24","29 days","16","49","11","-22","19","43","05:50","09:38","13:26","1.4","Not observable","Ophiuchus"
"2020","01","25","01 days","16","52","06","-22","25","17","05:49","09:36","13:23","1.4","Not observable","Ophiuchus"
"2020","01","26","02 days","16","55","02","-22","30","39","05:48","09:34","13:21","1.4","Not observable","Ophiuchus"
